epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,262.432,0.99901,1.82435,1.23856,0.93671,0.9029,0.91634,0.50369,1.5243,2.42121,1.99434,0.000549129,0.000549129,0.000549129
2,493.248,0.78993,1.08724,1.05919,0.96733,0.96951,0.97484,0.52468,1.4249,1.46134,2.31372,0.00109386,0.00109386,0.00109386
3,722.802,0.75522,0.91565,1.0324,0.99832,1,0.995,0.58442,1.33867,1.20499,2.0708,0.00162759,0.00162759,0.00162759
4,970.214,0.7449,0.81001,1.0181,0.57408,0.84146,0.98206,0.61229,1.25228,1.50747,1.81744,0.00161749,0.00161749,0.00161749
5,1234.9,0.70848,0.6976,0.99051,0.98059,0.98171,0.96881,0.51332,1.56,1.19796,2.17791,0.00160099,0.00160099,0.00160099
6,1544.02,0.70579,0.63674,0.98883,0.99202,0.98623,0.9836,0.51399,1.51264,0.79579,1.92936,0.00158448,0.00158448,0.00158448
7,1865.66,0.64084,0.54507,0.96613,0.99873,1,0.995,0.50677,1.66663,0.7691,2.31332,0.00156798,0.00156798,0.00156798
8,2187.28,0.64369,0.50602,0.96251,0.9922,0.9939,0.98561,0.51827,1.57331,0.67552,2.21274,0.00155148,0.00155148,0.00155148
9,2469.22,0.64648,0.49301,0.9634,0.98738,0.9939,0.99195,0.54628,1.52461,0.68445,1.98874,0.00153497,0.00153497,0.00153497
10,2694.95,0.64034,0.46197,0.95842,0.96704,0.96951,0.94536,0.45281,1.82031,0.86661,2.31887,0.00151847,0.00151847,0.00151847
11,2991.51,0.57852,0.42852,0.92883,0.98714,0.9878,0.98313,0.51372,1.55646,0.68862,2.30871,0.00150197,0.00150197,0.00150197
12,3269.49,0.61685,0.4436,0.95529,0.97986,0.98171,0.96852,0.50077,1.49497,0.70919,1.93249,0.00148546,0.00148546,0.00148546
13,3527.19,0.5977,0.40657,0.94669,0.89953,0.90244,0.85005,0.43979,1.8721,0.78301,2.35077,0.00146896,0.00146896,0.00146896
14,3803.38,0.59961,0.39675,0.94953,0.99871,1,0.995,0.51935,1.61501,0.63628,2.18917,0.00145246,0.00145246,0.00145246
15,4067.7,0.56702,0.37952,0.93241,0.94391,0.94512,0.92217,0.47937,1.67854,0.67112,2.15429,0.00143595,0.00143595,0.00143595
16,4333.44,0.56603,0.38108,0.92215,0.93179,0.93293,0.8936,0.52148,1.54298,0.69302,2.02205,0.00141945,0.00141945,0.00141945
17,4635.97,0.53948,0.35329,0.92073,0.97407,0.97561,0.96385,0.49695,1.5903,0.64221,2.19121,0.00140295,0.00140295,0.00140295
18,4916.22,0.56699,0.37444,0.93009,0.93845,0.93902,0.88498,0.46181,1.71471,0.73878,2.28399,0.00138644,0.00138644,0.00138644
19,5153.53,0.55592,0.37354,0.91807,0.81967,0.82317,0.71195,0.43898,1.79601,0.7311,2.39744,0.00136994,0.00136994,0.00136994
20,5411.63,0.5545,0.36084,0.92349,0.95481,0.95539,0.92934,0.45927,1.75709,0.62138,2.29625,0.00135344,0.00135344,0.00135344
21,5676.83,0.55888,0.35535,0.91178,0.75848,0.7561,0.68764,0.44734,1.81186,0.75738,2.31477,0.00133693,0.00133693,0.00133693
22,5939.96,0.54608,0.34615,0.92577,0.82779,0.84649,0.8089,0.44406,1.84474,0.81802,2.25787,0.00132043,0.00132043,0.00132043
23,6206.45,0.54838,0.34756,0.91974,0.9888,0.9878,0.98571,0.51922,1.62633,0.60166,2.11643,0.00130393,0.00130393,0.00130393
24,6470.2,0.53764,0.3396,0.9222,0.96155,0.98171,0.9726,0.53799,1.54973,0.52942,1.98263,0.00128742,0.00128742,0.00128742
25,6720.37,0.52647,0.32539,0.91678,0.65092,0.65244,0.56921,0.4017,1.93355,0.70441,2.42509,0.00127092,0.00127092,0.00127092
26,6999.44,0.51634,0.32014,0.90308,0.99146,0.9939,0.98808,0.53499,1.44829,0.53508,1.91455,0.00125442,0.00125442,0.00125442
27,7246.64,0.52524,0.31712,0.91679,0.55866,0.56098,0.50792,0.38745,2.08655,0.75978,2.51842,0.00123791,0.00123791,0.00123791
28,7510.71,0.51803,0.32394,0.91228,0.86738,0.86462,0.80239,0.45417,1.76238,0.59907,2.32998,0.00122141,0.00122141,0.00122141
29,7786.47,0.49832,0.32036,0.90451,0.90153,0.96852,0.90176,0.56446,1.38446,0.56771,1.64208,0.00120491,0.00120491,0.00120491
